account_id,customer_name,age,account_type,balance,transaction_count,credit_score,branch_city,loan_status,last_transaction_date
73,Janice Baker,74,Checking,3491.25,93,776,North Amandachester,Rejected,2025-05-24
74,Melvin Hamilton,73,Savings,43104.78,10,752,Port Roberthaven,Pending,2025-04-14
75,Lisa Lawson,41,Savings,20248.4,91,752,Hernandezside,Pending,2025-05-29
76,Sheri Kelley,54,Loan,47085.65,53,518,North Ashley,Approved,2024-10-19
77,Karen Snyder,30,Savings,28526.8,174,823,Youngport,Pending,2024-11-08
78,Jose Flowers,63,Checking,28988.06,63,784,East Stacey,Rejected,2025-05-26
79,Amanda Roberson,22,Checking,2083.11,170,473,North Cameronport,Rejected,2024-12-04
80,Anthony Parrish,20,Loan,4190.97,26,386,West Carrie,Approved,2025-01-16
81,Christina Gray,60,Checking,32902.92,90,590,West Jennifershire,Rejected,2024-12-05
82,Albert Casey,32,Business,28304.82,199,827,South Judy,Rejected,2024-09-28
83,Jesus Bradshaw,67,Loan,15886.86,143,643,Shannonberg,Rejected,2024-11-10
84,Sandra Guzman,36,Checking,13112.21,104,395,Perezton,Rejected,2025-01-03
85,Jesus Copeland,23,Checking,33519.33,158,540,East Phillipville,Pending,2025-03-03
86,Jermaine Branch,72,Business,15777.77,191,617,West Angela,Pending,2025-06-27
87,Elizabeth Berg,32,Loan,13354.16,39,530,North William,Pending,2024-10-21
88,Jamie Green,73,Business,6630.83,60,503,Andrewport,Pending,2024-11-28
89,Russell Becker,24,Loan,32310.49,41,450,North Patriciaburgh,Pending,2024-12-04
90,Leah Patel,42,Loan,22915.51,45,325,Donaldtown,Approved,2024-10-15
91,Kristin Berry,35,Savings,46458.01,105,347,New Sarahburgh,Rejected,2025-03-12
92,Alan Rodgers,47,Checking,46793.14,6,550,South Austinhaven,Approved,2025-02-27
93,Traci Anderson,58,Checking,564.84,45,786,Elliottfurt,Rejected,2025-08-04
94,Angel Sullivan,71,Savings,31095.85,188,374,South Ericmouth,Rejected,2025-04-14
95,Jennifer Barber,41,Business,28193.38,85,766,Lake Jeremy,Rejected,2024-10-11
96,Kelly Keller,28,Savings,5089.06,200,724,East Steveside,Approved,2025-08-13
97,Autumn Mckinney,41,Checking,26927.96,105,499,Andreaburgh,Rejected,2024-10-12
98,Stacey Mcfarland,40,Checking,25343.65,171,693,Rodriguezborough,Rejected,2024-11-09
99,Patricia Combs,31,Savings,6709.58,188,806,East Cheyenneburgh,Pending,2024-12-18
100,Chad Hamilton,60,Savings,17515.54,63,709,East David,Pending,2024-11-23
